,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CASP14,54.96019073,0.796410796,0.303924113,2.620426486,0.008781986,0.019281804
KIAA1467,2276.64639,0.793955698,0.104098374,7.626974993,2.40E-14,6.53E-13
MAGEA10,2.262423945,0.792754782,0.68685191,1.154185888,0.248423967,0.338122017
PRR11,136.7246928,0.792315967,0.103455337,7.658531587,1.88E-14,5.18E-13
VSTM2A,315.5872877,0.791958628,0.307770233,2.573213856,0.010075893,0.021752934
PSG8,0.251395855,0.791730902,0.470987384,1.681002356,0.092762457,0.147738392
KMO,260.1886569,0.791410957,0.110370136,7.170517203,7.47E-13,1.54E-11
GOLGA2P6,0.810951292,0.790623241,0.200404375,3.945139629,7.98E-05,0.000301307
FAM123A,1.690681469,0.790503282,0.395083187,2.000852752,0.045408261,0.080242294
DNAH11,36.86687693,0.790384995,0.178791214,4.420714973,9.84E-06,4.65E-05
IL1RAPL2,5.897019116,0.788903721,0.156783709,5.031796507,4.86E-07,3.15E-06
AACSL,1.962853793,0.788153667,0.242120768,3.255208844,0.00113309,0.003164316
RHBDL3,53.97735105,0.787824029,0.123927184,6.357152679,2.06E-10,2.68E-09
CACNG1,35.41248137,0.787191,0.147298565,5.344186487,9.08E-08,6.94E-07
POU6F2,1.255929578,0.785580662,0.434917435,1.806275396,0.070875333,0.117184667
GUCY2E,0.211440826,0.785549232,0.502167039,1.564318587,0.117742769,0.180580339
CLTC,17089.96756,0.784270822,0.056066693,13.988177,1.84E-44,6.11E-42
TRPA1,116.8941047,0.784175993,0.186590838,4.202650043,2.64E-05,0.000112147
KCNJ12,41.14696623,0.783323166,0.100309159,7.809089159,5.76E-15,1.73E-13
KRT31,17.72376945,0.782822687,0.228883878,3.42017399,0.000625811,0.001870995
CACNB1,153.8509615,0.781800868,0.067418497,11.59623698,4.31E-31,6.16E-29
C11orf85,1.641599173,0.781116893,0.267666091,2.918251208,0.003520006,0.008622231
GGT1,616.7287751,0.780355864,0.10989455,7.100951452,1.24E-12,2.45E-11
FA2H,130.0361032,0.779414508,0.098344053,7.925385274,2.27E-15,7.31E-14
LRRC69,4.050616575,0.779366706,0.11157286,6.985271404,2.84E-12,5.30E-11
ARL14,1.816092718,0.778379977,0.236719535,3.288194945,0.00100832,0.002858366
TTLL6,4.662257593,0.777340557,0.163270469,4.761060365,1.93E-06,1.08E-05
HPGD,224.8139686,0.776716358,0.14096593,5.509958044,3.59E-08,2.99E-07
SPINK13,0.476459653,0.773405499,0.50665959,1.526479544,0.126890481,0.19237246
PRSS1,7.046544487,0.771891495,0.290040652,2.661321751,0.007783454,0.01734537
RPL23P8,110.1236652,0.77003563,0.068029489,11.31914471,1.05E-29,1.43E-27
UGT2B10,6.353006976,0.769973137,0.296332419,2.598342562,0.009367499,0.020415528
LRFN2,17.50051205,0.769077288,0.110881608,6.936022152,4.03E-12,7.25E-11
LRRC59,4714.981603,0.767370822,0.051029523,15.03778173,4.15E-51,2.03E-48
HSD3B1,1.044972094,0.766852479,0.356799962,2.149250452,0.031614552,0.058676684
SELV,0.723557586,0.766267745,0.355702976,2.154234842,0.03122176,0.058051935
SOX11,325.4503603,0.766230179,0.148912901,5.145492252,2.67E-07,1.84E-06
ADAMTS20,2.351882781,0.765596347,0.243978101,3.137971579,0.001701214,0.004540883
ZNF486,144.8049546,0.761859332,0.103433929,7.365661694,1.76E-13,4.11E-12
C1orf182,7.959877092,0.760774585,0.082589654,9.211499863,3.22E-20,1.93E-18
LYPD4,0.62698395,0.760548184,0.214882137,3.539373706,0.000401078,0.001260714
ATP1A2,74.74371932,0.759317431,0.13845176,5.484346544,4.15E-08,3.41E-07
OTOP3,0.54892154,0.758204695,0.430605802,1.760786063,0.07827462,0.127704355
WDR72,79.78192583,0.754989724,0.203455158,3.710840915,0.000206572,0.000703282
TMEM64,848.2225193,0.754299501,0.103344116,7.298910978,2.90E-13,6.55E-12
ZNF652,2441.819231,0.754257929,0.057156339,13.19640019,9.20E-40,2.55E-37
PSMD11,1494.10007,0.753878937,0.041931206,17.97894697,2.85E-72,1.96E-69
TMEM45B,291.854267,0.752548103,0.123763071,6.080554521,1.20E-09,1.35E-08
KRT222,79.80605418,0.75233041,0.070204667,10.716245,8.54E-27,9.51E-25
ZNF99,2.002368606,0.752313727,0.181186949,4.15214081,3.29E-05,0.000136729
KC6,1.08351333,0.751166013,0.383552889,1.958441806,0.050178193,0.087318883
XAGE5,0.272979016,0.748983218,1.272532296,0.588576982,0.556145079,0.64733352
MYCN,62.31499261,0.748843545,0.123373972,6.069704461,1.28E-09,1.44E-08
LDLRAD1,4.436461674,0.746169306,0.174184127,4.283796231,1.84E-05,8.11E-05
